ejemplo,categoria,tipo_victima,metafora_dominante,mecanismo_de_distorsion,canal_difusion,breve_descripcion
Britney Spears,celebridad,individuo famoso,fauces,espectacularización,medios,Convertida en símbolo de deterioro público.
Michael Jackson,celebridad,individuo famoso,espejo roto,demonización,medios,Investigado y expuesto como espectáculo.
Amy Winehouse,celebridad,individuo famoso,circo,espectacularización,medios,Su deterioro se volvió entretenimiento.
Lindsay Lohan,celebridad,individuo famoso,avatar,estereotipación,prensa,Convertida en arquetipo de caos.
Paris Hilton,celebridad,individuo famoso,jaula simbólica,carcasa,medios,Simplificada a personaje superficial.
Shakira caso Hacienda,celebridad,individuo famoso,jaula fiscal,culpabilización,redes,Culpabilización masiva.
Gerard Piqué,celebridad,individuo famoso,manada,linchamiento,redes,Villano sentimental en narrativas virales.
C Tangana,celebridad,individuo famoso,espejo roto,polarización,redes,Cada gesto interpretado al límite.
Aitana,celebridad,individuo famoso,avatar,idealización,redes,Convertida en representación generacional.
Rosalía,celebridad,individuo famoso,fantasma cultural,polarización,redes,Proyectada como problema o icono.
Bad Bunny,celebridad,individuo famoso,carcasa,controversia,memes,Antagonista o ídolo según fandom.
Taylor Swift,celebridad,individuo famoso,ídolo roto,polarización,redes,Cualquier acto se sobredimensiona.
Selena Gomez,celebridad,individuo famoso,sombra,acoso,redes,Perseguida por dinámicas tóxicas de fandom.
Dua Lipa,celebridad,individuo famoso,carcasa,idealización,memes,Convertida en meme global.
Beyoncé,celebridad,individuo famoso,altar,demonización,conspiraciones,Convertida en símbolo ocultista en teorías.
Lady Gaga,celebridad,individuo famoso,ritual,conspiración,redes,Victimizada por teorías absurdas.
Tiburones,naturaleza,animales,fauces,demonización,medios,Pintados como monstruos letales.
Lobos,naturaleza,animales,fauces,temor ancestral,folclore,Demonizados pese a datos reales.
Serpientes,naturaleza,animales,fantasma,temor arcaico,rumores,Presentadas como malévolas por defecto.
Murciélagos,pandemia,animales,virus mental,culpabilización,medios,Convertidos en fuente del contagio.
Perros PPP,naturaleza,animales,bestiario,demonización,medios,Demonización periódica de razas.
Delfines,naturaleza,animales,espejo,idealización,documentales,Humanizados como santos marinos.
Osos polares,naturaleza,animales,fantasma,alarmismo,medios,Convertidos en símbolo de apocalipsis mediático.
Científicos pandemia,ciencia,colectivo técnico,espejo roto,chivo expiatorio,redes,Responsabilizados del caos.
Epidemiólogos,ciencia,colectivo técnico,torre de marfil,demonización,medios,Convertidos en villanos por contradicciones normales.
Sanitarios 2020,ciencia,colectivo técnico,héroe roto,borrado,medios,Del aplauso al ataque posterior.
Virólogos,ciencia,colectivo técnico,oráculo fallido,culpabilización,prensa,Recibieron presión imposible.
OMS,organización,entidad abstracta,laberinto,desconfianza,rumores,Presentada como ente negativo.
