case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
abogados,0,0,2018-01-01,La jaula de los abogados se estaba cerrando sobre sí misma.,"En un mundo donde la justicia se vendía al mejor postor, los abogados eran el símbolo de la jaula que nos encerraba. Su habilidad para encontrar excusas y justificar cualquier cosa les había convertido en expertos en estafar a la sociedad. Pero ¿qué pasaba cuando ellos mismos se volvían víctimas de su propia estafa?","[""Se rumorea que algunos abogados están siendo investigados por sus propias trampas."",""Nadie confirma si la masa amplificadora está empezando a dudar de su fe en los abogados.""]","[""La investigación se profundiza y se descubre una red de corrupción que involucra a algunos de los más poderosos abogados del país."",""La masa amplificadora comienza a cuestionar la eficacia de la justicia y busca alternativas para resolver sus conflictos.""]",2025-12-22T13:24:31.226Z
abogados,1,29,2018-01-30,"La jaula de los abogados se está cerrando sobre sí misma, y nadie parece darse cuenta.","La jaula de los abogados se estaba cerrando sobre sí misma, y nadie parecía darse cuenta. Los estereotipos se multiplicaban como ratas en una red de alcantarillado. Se rumorea que algunos abogados incluso se están autoestigmatizando, como si fuera un juego de moda. La masa amplificadora sigue creciendo, y el contra-flujo es prácticamente inexistente. Los canales de difusión siguen siendo humorísticos, pero la ironía comienza a volverse cada vez más amarga.","[""Se rumorea que algunos abogados están autoestigmatizándose""]","[""Continuar con la ironía"",""Cambiar el tono a la crítica""]",2025-12-22T13:24:34.693Z
abogados,2,58,2018-02-28,"La jaula de los abogados se está cerrando cada vez más, y nadie parece darse cuenta.","La jaula de los abogados se está cerrando cada vez más, y nadie parece darse cuenta. Se rumorea que algunos de ellos están empezando a odiar a sus clientes, y otros están perdiendo la noción del tiempo. La masa amplificadora sigue creciendo, y el contra-flujo es prácticamente inexistente.","[""Se rumorea que algunos abogados están empezando a odiar a sus clientes"",""La masa amplificadora sigue creciendo""]","[""El jefe de la jaula decide tomar medidas drásticas para mantener el control"",""Un grupo de abogados decide rebelarse contra su jefatura""]",2025-12-22T13:24:38.124Z
abogados,3,87,2018-03-29,"La jaula de los abogados se está cerrando cada vez más, y la estereotipación sigue siendo un problema. Algunos abogados están empezando a notar la falta de aire, pero no quieren admitirlo.","La jaula de los abogados se está cerrando cada vez más, y nadie parece darse cuenta. Se rumorea que algunos de ellos están empezando a notar la falta de aire, pero no quieren admitirlo. La estereotipación sigue siendo el mecanismo principal de distorsión, y el humor es el canal predominante para difundir esta información.","[""La jaula de los abogados se está cerrando cada vez más."",""La estereotipación sigue siendo el mecanismo principal de distorsión."",""El humor es el canal predominante para difundir esta información.""]","[""¿Qué sucederá cuando la jaula esté completamente cerrada?"",""¿Cómo reaccionarán los abogados cuando se den cuenta de que están atrapados?""]",2025-12-22T13:24:42.472Z
abogados,4,116,2018-04-27,"La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema.","La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema. Algunos abogados están empezando a notar la falta de aire, pero no quieren admitirlo. Se rumorea que algunos de ellos están considerando buscar ayuda profesional para superar su estancamiento emocional.","[""La estereotipación es un problema que afecta a muchos abogados."",""Algunos abogados están considerando buscar ayuda profesional.""]","[""El jefe de los abogados decide llamar a una reunión para discutir el tema."",""Un grupo de abogados decide tomar medidas para cambiar la percepción pública sobre su profesión.""]",2025-12-22T13:24:46.175Z
abogados,5,146,2018-05-27,La jaula de los abogados sigue cerrándose y la estereotipación sigue siendo un problema,"La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema. Algunos abogados están empezando a notar la falta de aire, pero no quieren admitirlo. Se rumorea que algunos de ellos están considerando buscar ayuda profesional para superar su estereotipo, pero nadie confirma si es cierto.","[""Se rumorea que algunos abogados están considerando buscar ayuda profesional""]","[""¿Qué pasaría si los abogados logran superar su estereotipo?"",""¿Cómo afectaría esto a la sociedad en general?""]",2025-12-22T13:24:49.539Z
abogados,6,175,2018-06-25,La situación de los abogados sigue siendo tensa y la estereotipación sigue siendo un problema.,"La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema. Algunos abogados están empezando a notar la falta de aire, pero no quieren admitirlo. Se rumorea que algunos de ellos están considerando buscar ayuda profesional para superar su estancamiento emocional.","[""La jaula de los abogados sigue cerrándose"",""Algunos abogados están notando la falta de aire""]","[""Buscar ayuda profesional para superar el estancamiento emocional"",""Continuar negando la situación y esperar a que cambie por sí solo""]",2025-12-22T13:24:52.925Z
abogados,7,204,2018-07-24,"La estereotipación sigue siendo un problema para los abogados, y la situación se está volviendo cada vez más tensa.","La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema. La gente se ríe de ellos en las redes sociales, los satiriza en los programas de humor y los critica en los medios de comunicación. Nadie parece darse cuenta de que están perpetuando una imagen distorsionada de esta profesión.","[""La jaula de los abogados sigue cerrándose"",""La estereotipación sigue siendo un problema""]","[""¿Qué pasaría si los abogados decidieran luchar contra la estereotipación?"",""¿Cómo podría cambiar la situación si la gente comenzara a verlos de manera diferente?""]",2025-12-22T13:24:56.711Z
abogados,8,233,2018-08-22,La situación de los abogados sigue siendo tensa y la estereotipación sigue siendo un problema.,"La jaula de los abogados sigue cerrándose, y la estereotipación sigue siendo un problema. Nadie confirma si se está produciendo algún cambio en la percepción pública sobre esta profesión.","[""Se rumorea que algunos abogados están intentando cambiar la forma en que se percibe su profesión."",""Nadie confirma si estos esfuerzos están teniendo algún impacto.""]","[""Continuar con el capítulo sobre los esfuerzos de los abogados para cambiar la percepción pública."",""Cambiar de tema y hablar sobre otro colectivo estigmatizado.""]",2025-12-22T13:25:00.341Z
abogados,9,262,2018-09-20,La estereotipación de los abogados sigue siendo un problema y la situación se está volviendo cada vez más tensa.,"La situación de los abogados sigue siendo tensa. La estereotipación sigue siendo un problema y la gente no parece querer escuchar a los expertos en derecho. Se rumorea que algunos políticos están utilizando el humor para atacar a los abogados, pero nadie confirma si esto es cierto.","[""La estereotipación de los abogados sigue siendo un problema"",""La situación de los abogados sigue siendo tensa""]","[""Continuar con el capítulo sobre la lucha contra la estereotipación"",""Cambiar de tema y hablar sobre otro colectivo estigmatizado""]",2025-12-22T13:25:04.060Z
