case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
aceites_esenciales,0,0,2018-01-01,"La popularidad de los aceites esenciales sigue siendo un fenómeno colectivo en las redes sociales, aunque su impacto está disminuyendo","La curación mágica de los aceites esenciales sigue ganando adeptos en las redes sociales. Aunque el enganche ha disminuido ligeramente desde el principio, la masa amplificadora sigue creciendo y se rumorea que algunos influencers están empezando a promocionar estos 'remedios naturales' a sus seguidores.","[""El enganche ha disminuido ligeramente desde el principio"",""La masa amplificadora sigue creciendo""]","[""Un grupo de científicos decide investigar la eficacia real de los aceites esenciales y publica un estudio que desmiente sus beneficios"",""Un influencer famoso comienza a promocionar los aceites esenciales a su gran cantidad de seguidores, lo que provoca un aumento en el enganche""]",2025-12-22T13:45:41.653Z
aceites_esenciales,1,29,2018-01-30,"El interés por los aceites esenciales sigue siendo alto, pero su influencia comienza a disminuir.","La popularidad de los aceites esenciales sigue siendo un fenómeno colectivo en las redes sociales, aunque su impacto está disminuyendo. Se rumorea que algunos expertos están empezando a cuestionar la eficacia de estos productos.","[""La popularidad de los aceites esenciales se mantiene en las redes sociales."",""Algunos expertos cuestionan la eficacia de estos productos.""]","[""Investigar más sobre las críticas de los expertos hacia los aceites esenciales."",""Explorar nuevas tendencias en el mundo de la salud y el bienestar que puedan reemplazar a los aceites esenciales.""]",2025-12-22T13:45:55.229Z
aceites_esenciales,2,58,2018-02-28,"La tendencia de los aceites esenciales sigue en declive, pero su influencia persiste","La popularidad de los aceites esenciales sigue en declive, pero su influencia aún persiste en las redes sociales. Se rumorea que algunos seguidores están comenzando a cuestionar la eficacia de estos productos, pero nadie confirma si esto se debe a una mayor conciencia sobre sus limitaciones o simplemente a un cambio de interés.","[""El engagement ha disminuido significativamente desde el mes pasado"",""El contagio también ha disminuido, pero aún es alto""]","[""Se descubre un nuevo estudio que cuestiona la eficacia de los aceites esenciales"",""Un influencer popular comienza a promocionar una alternativa a los aceites esenciales""]",2025-12-22T13:46:09.277Z
aceites_esenciales,3,87,2018-03-29,"La popularidad de los aceites esenciales disminuye, pero su impacto no desaparece del todo.","La tendencia de los aceites esenciales sigue en declive, pero su influencia persiste. Se rumorea que algunos defensores de la pseudociencia están comenzando a buscar nuevas formas de promocionar sus productos.","[""El interés por los aceites esenciales sigue siendo alto, aunque su influencia comienza a disminuir."",""Se han detectado señales de que algunos defensores de la pseudociencia están buscando nuevas formas de promocionar sus productos.""]","[""La masa amplificadora comienza a perder interés en los aceites esenciales, pero un pequeño grupo de seguidores sigue siendo leal."",""Un nuevo producto relacionado con la pseudociencia aparece en las redes sociales, generando un nuevo ciclo de popularidad.""]",2025-12-22T13:46:24.158Z
aceites_esenciales,4,116,2018-04-27,"La popularidad de los aceites esenciales disminuye, pero su impacto no desaparece del todo.","La tendencia de los aceites esenciales sigue en declive, pero su influencia persiste. La masa amplificadora comienza a perder interés, y el contra-flujo se vuelve más fuerte. Se rumorea que algunos defensores de los aceites esenciales están comenzando a cuestionar sus beneficios.","[""El engagement con los aceites esenciales ha caído un 0.475% en las últimas 24 horas."",""El contagio se ha reducido a un 16.3% de su máximo."",""La pluralidad sigue siendo alta, pero comienza a disminuir.""]","[""¿Se producirá una reacción en cadena contra los aceites esenciales?"",""¿Podrán los defensores de los aceites esenciales encontrar un nuevo argumento para mantener su influencia?""]",2025-12-22T13:46:38.911Z
aceites_esenciales,5,146,2018-05-27,"La influencia de los aceites esenciales sigue siendo significativa, aunque su popularidad disminuye.","La tendencia de los aceites esenciales sigue en declive, pero su influencia persiste. Aunque su popularidad disminuye, su impacto no desaparece del todo. Se rumorea que algunos seguidores están comenzando a buscar soluciones alternativas, pero nadie confirma si esto es un cambio de tendencia o simplemente una reacción a la creciente crítica hacia los aceites esenciales.","[""La tendencia de los aceites esenciales sigue en declive"",""Su impacto no desaparece del todo""]","[""¿Qué consecuencias tendrán estas tendencias en la industria?"",""¿Cómo reaccionarán los seguidores a la creciente crítica?""]",2025-12-22T13:46:51.309Z
aceites_esenciales,6,175,2018-06-25,"La popularidad de los aceites esenciales disminuye, pero su impacto persiste","La popularidad de los aceites esenciales sigue en declive, pero su influencia en la cultura popular no desaparece del todo. Se rumorea que algunos seguidores más apasionados siguen utilizando estos productos como solución mágica para sus problemas de salud. Sin embargo, la masa amplificadora parece estar perdiendo interés y el contra-flujo se vuelve cada vez más fuerte.","[""La masa amplificadora pierde interés en los aceites esenciales"",""El contra-flujo se vuelve más fuerte""]","[""Continuar con la caída de la popularidad de los aceites esenciales"",""Introducir un nuevo producto que desplace a los aceites esenciales""]",2025-12-22T13:47:03.771Z
aceites_esenciales,7,204,2018-07-24,"La tendencia de los aceites esenciales se vuelve más estable, aunque su impacto no desaparece del todo.","La popularidad de los aceites esenciales sigue en declive, pero su influencia persiste. La masa amplificadora continúa difundiendo la idea de la curación mágica a través de las redes sociales.","[""El contagio sigue siendo alto, con un 66.41% de participación"",""La pluralidad alcanza un máximo en este momento, con un 65.18% de acuerdo""]","[""La masa amplificadora comienza a cuestionar la eficacia de los aceites esenciales"",""El contra-flujo aumenta, como respuesta a la creciente desconfianza en la curación mágica""]",2025-12-22T13:47:16.854Z
aceites_esenciales,8,233,2018-08-22,"La influencia de los aceites esenciales se vuelve más estable, pero su impacto persiste en la sociedad. La gente sigue siendo cautiva de las promesas de curación mágica que ofrecen estos productos.","La tendencia de los aceites esenciales sigue siendo un fenómeno colectivo, aunque su popularidad disminuye. La gente sigue buscando soluciones mágicas para sus problemas de salud, pero la realidad es que no hay evidencia científica que respalde el uso de estos productos como cura para enfermedades graves.","[""La popularidad de los aceites esenciales disminuye"",""No hay evidencia científica que respalde el uso de estos productos como cura para enfermedades graves""]","[""¿Qué consecuencias tendrá la disminución de la popularidad de los aceites esenciales en la industria?"",""¿Cómo se puede combatir la influencia de los aceites esenciales en la sociedad?""]",2025-12-22T13:47:33.814Z
aceites_esenciales,9,262,2018-09-20,"La influencia de los aceites esenciales se vuelve más estable, pero su impacto persiste en la sociedad.","La tendencia de los aceites esenciales sigue siendo un fenómeno colectivo, aunque su impacto parece estar disminuyendo. La gente sigue siendo cautiva de las promesas de curación mágica que ofrecen estos productos, pero la popularidad de los aceites esenciales disminuye lentamente.","[""La gente sigue siendo cautiva de las promesas de curación mágica que ofrecen estos productos."",""La popularidad de los aceites esenciales disminuye lentamente.""]","[""¿Qué sucede cuando la gente comienza a darse cuenta de que los aceites esenciales no son la solución mágica que prometen?"",""¿Cómo se vuelve más estable la influencia de los aceites esenciales en la sociedad?""]",2025-12-22T13:47:49.736Z
