case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
algoritmos,0,0,2018-01-01,"ERROR: generateJsonWithLLM: Error: El modelo no devolvió JSON. Inicio:
{""text"":""La máquina opresora de los algoritmos sigue funcionando a pleno rendimiento. La culpa es suya, siempre la c",,"[""chapter_failed=true""]",[],2025-12-22T14:27:17.324Z
algoritmos,1,29,2018-01-30,"La culpa sigue siendo de los algoritmos, pero ¿qué hay detrás de esta máquina opresora?","La máquina opresora de los algoritmos sigue funcionando a pleno rendimiento. La culpa es suya, siempre la culpan a ellos. Pero ¿qué hay detrás de esta máquina? ¿Quién está impulsándola? Nadie confirma nada, pero se rumorea que hay una masa amplificadora detrás de todo esto. Los algoritmos siguen siendo los culpables, pero ¿quién es el verdadero responsable?","[""Se rumorea que hay una masa amplificadora detrás de todo esto"",""Nadie confirma nada""]","[""Investigar a la masa amplificadora"",""Continuar culpando a los algoritmos""]",2025-12-22T14:27:27.325Z
algoritmos,2,58,2018-02-28,"La culpabilización de los algoritmos continúa, pero se rumorea que hay una fuerza más poderosa en juego.","La máquina opresora de los algoritmos sigue funcionando a pleno rendimiento. La culpa es suya, siempre la culpan a ellos. Pero ¿qué hay detrás de esta máquina opresora? ¿Quién o qué está impulsándola?","[""El contagio de la culpa hacia los algoritmos ha aumentado ligeramente en las últimas horas."",""La pluralidad de opiniones sobre el tema sigue disminuyendo.""]","[""Investigar a los responsables detrás de la máquina opresora"",""Analizar las implicaciones de la culpabilización de los algoritmos""]",2025-12-22T14:27:37.221Z
algoritmos,3,87,2018-03-29,"La culpabilización de los algoritmos continúa, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora.","La culpa sigue siendo de los algoritmos, pero ¿qué hay detrás de esta máquina opresora? Se rumorea que hay una fuerza más poderosa en juego. Algunos dicen que es la masa amplificadora, otros que es el contra-flujo. Pero nadie confirma nada.","[""Se rumorea que hay una fuerza más poderosa en juego."",""Algunos dicen que es la masa amplificadora, otros que es el contra-flujo.""]","[""Investigar la verdadera naturaleza de la masa amplificadora"",""Descubrir las intenciones del contra-flujo""]",2025-12-22T14:27:47.044Z
algoritmos,4,116,2018-04-27,"La culpabilización de los algoritmos sigue siendo un tema candente, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora.","La culpabilización de los algoritmos continúa, pero se rumorea que hay una fuerza más poderosa en juego. Algunos expertos sugieren que la verdadera responsabilidad recae en las redes sociales mismas, que actúan como máquinas opresoras sin control alguno.","[""Se rumorea que las redes sociales son la verdadera fuerza impulsora detrás de la máquina opresora."",""Algunos expertos sugieren que los algoritmos son solo una herramienta para controlar a la gente.""]","[""Investigar más sobre la relación entre las redes sociales y la máquina opresora."",""Explorar las posibles consecuencias de la culpabilización de los algoritmos en la sociedad.""]",2025-12-22T14:27:59.893Z
algoritmos,5,146,2018-05-27,"La culpabilización de los algoritmos continúa, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora. Se rumorea que hay una fuerza más poderosa en juego.","La culpabilización de los algoritmos sigue siendo un tema candente, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora. Se rumorea que hay una fuerza más poderosa en juego, una entidad que manipula y controla a los algoritmos para su propio beneficio.","[""Se cuestiona la verdadera responsabilidad detrás de la máquina opresora."",""Se rumorea que hay una fuerza más poderosa en juego.""]","[""Investigar a los desarrolladores de los algoritmos"",""Buscar pruebas de la existencia de la fuerza más poderosa""]",2025-12-22T14:28:11.328Z
algoritmos,6,175,2018-06-25,La narrativa sobre los algoritmos sigue siendo compleja y controvertida,"La culpabilización de los algoritmos sigue siendo un tema candente, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora. Se rumorea que hay una fuerza más poderosa en juego, una especie de 'dueño' invisible que maneja las cuerdas del destino digital.","[""Se cuestiona la responsabilidad detrás de los algoritmos"",""Se rumorea una fuerza más poderosa en juego""]","[""Explorar las posibles consecuencias de esta fuerza invisible"",""Investigar sobre las verdaderas intenciones detrás de la culpabilización de los algoritmos""]",2025-12-22T14:28:22.519Z
algoritmos,7,204,2018-07-24,La narrativa sobre los algoritmos sigue siendo compleja y controvertida,"La culpabilización de los algoritmos sigue siendo un tema candente, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora. Se rumorea que hay una fuerza más poderosa en juego, una masa amplificadora que está manipulando las redes para mantener el control.","[""Se cuestiona la verdadera responsabilidad detrás de los algoritmos"",""Hay rumores de una masa amplificadora en juego""]","[""Investigar más a fondo la supuesta masa amplificadora"",""Analizar las redes para entender cómo se están manipulando""]",2025-12-22T14:28:32.799Z
algoritmos,8,233,2018-08-22,"La culpabilización de los algoritmos continúa, pero se cuestiona la verdadera responsabilidad detrás de esta máquina opresora.","La culpabilización de los algoritmos sigue siendo un tema candente. Se rumorea que hay una fuerza más poderosa detrás de esta máquina opresora, pero nadie confirma nada. La narrativa sobre los algoritmos sigue siendo compleja y controvertida.","[""Se rumorea que hay una fuerza más poderosa detrás de los algoritmos"",""La narrativa sobre los algoritmos sigue siendo compleja y controvertida""]","[""Investigar la posible fuerza detrás de los algoritmos"",""Continuar analizando la culpabilización de los algoritmos""]",2025-12-22T14:28:44.235Z
algoritmos,9,262,2018-09-20,La culpabilización de los algoritmos sigue siendo un tema controvertido,"La narrativa sobre los algoritmos sigue siendo un laberinto de complejidades y contradicciones. A medida que la culpa se desplaza hacia estos entes abstractos, se cuestiona quién o qué está detrás de esta máquina opresora. La masa amplificadora continúa difundiendo el mensaje, pero el contra-flujo comienza a hacerse notar.","[""El enganche ha disminuido en los últimos días"",""El contagio también ha disminuido significativamente""]","[""Investigar quién o qué está detrás de la máquina opresora"",""Analizar el papel de la masa amplificadora en la difusión del mensaje""]",2025-12-22T14:28:54.132Z
