case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
aitana,0,0,2018-01-01,La idealización de la Aitana comienza a debilitarse y el contra-flujo se hace notar.,"La Aitana sigue siendo la representación generacional, pero su idealización comienza a mostrar signos de debilidad. El contagio sigue aumentando, pero la pluralidad se mantiene baja, lo que sugiere que la masa amplificadora está empezando a cuestionar la figura de la Aitana.

El contra-flujo también comienza a hacerse notar, con un aumento en la resistencia y una disminución en el contagio. Parece que alguien o algo está intentando desacreditar a la Aitana y restaurar la normalidad.

La pregunta es: ¿quién o qué está detrás de este contra-flujo? ¿Es alguien dentro del colectivo estigmatizado, o alguien externo que busca aprovecharse de la situación?","[""El contagio sigue aumentando"",""La pluralidad sigue siendo baja"",""El contra-flujo está aumentando""]","[""Investigar al posible líder del contra-flujo"",""Intentar desacreditar a la Aitana y restaurar la normalidad""]",2025-12-22T14:07:52.000Z
aitana,1,29,2018-01-30,La situación se vuelve cada vez más tensa. La masa amplificadora está dividida y el contra-flujo sigue creciendo en intensidad.,"La idealización de la Aitana comienza a desmoronarse. El contra-flujo, que había estado creciendo en intensidad desde hace semanas, ahora se ha convertido en un torrente de críticas y controversias. La masa amplificadora, que antes había sido tan entusiasta con la celebridad, ahora parece estar dividida entre aquellos que siguen idealizando a Aitana y aquellos que están cada vez más escépticos.","[""El contra-flujo ha aumentado un 50% desde la última semana."",""La masa amplificadora está dividida en dos grupos: los que siguen idealizando a Aitana y aquellos que están cada vez más escépticos.""]","[""La situación se vuelve cada vez más violenta, con manifestaciones y disturbios en las calles."",""Aitana intenta hacer un comunicado para tratar de calmar la situación.""]",2025-12-22T14:08:05.303Z
aitana,2,58,2018-02-28,La situación sigue siendo tensa y la masa amplificadora está dividida,"La tensión en torno a Aitana sigue creciendo. La masa amplificadora está cada vez más dividida, y el contra-flujo se ha convertido en un fenómeno visible. Se rumorea que algunos miembros de la masa están comenzando a cuestionar la idealización de Aitana, pero nadie confirma si esto es cierto.","[""El contra-flujo se ha convertido en un fenómeno visible"",""Se rumorea que algunos miembros de la masa están cuestionando la idealización de Aitana""]","[""La masa amplificadora se divide aún más"",""Aitana intenta reafirmar su posición""]",2025-12-22T14:08:16.303Z
aitana,3,87,2018-03-29,"La situación sigue siendo tensa y la masa amplificadora está dividida. La idealización de Aitana comienza a debilitarse, pero no se sabe si esto es un paso hacia el contra-flujo o simplemente una reacción natural.","La tensión sigue creciendo en la masa amplificadora. Se rumorea que algunos miembros están comenzando a cuestionar la idealización de Aitana, pero nadie confirma si esto es un giro hacia el contra-flujo o simplemente una reacción natural ante la creciente popularidad.","[""La masa amplificadora está dividida"",""Se rumorea que algunos miembros están cuestionando la idealización de Aitana""]","[""El contra-flujo continúa creciendo en intensidad"",""La masa amplificadora se divide aún más""]",2025-12-22T14:08:28.747Z
aitana,4,116,2018-04-27,La situación sigue siendo tensa y la masa amplificadora está dividida. Se rumorea que algunos miembros están cuestionando la idealización de Aitana y el contra-flujo está ganando fuerza.,"La masa amplificadora sigue dividida, pero se rumorea que algunos de sus miembros están comenzando a cuestionar la idealización de Aitana. El contra-flujo, que había estado en silencio durante un tiempo, parece estar ganando fuerza nuevamente.","[""La masa amplificadora sigue dividida"",""Se rumorea que algunos miembros están cuestionando la idealización de Aitana""]","[""El contra-flujo continúa creciendo en intensidad"",""La idealización de Aitana comienza a debilitarse""]",2025-12-22T14:08:40.271Z
aitana,5,146,2018-05-27,"La situación sigue siendo tensa y la masa amplificadora está dividida, pero el contra-flujo está ganando terreno.","La masa amplificadora sigue dividida, pero se rumorea que algunos miembros están cuestionando la idealización de Aitana. El contra-flujo está ganando fuerza y algunos incluso hablan de un posible 'desacralizado' de la celebridad.","[""Se rumorea que algunos miembros de la masa amplificadora están cuestionando la idealización de Aitana."",""El contra-flujo está ganando fuerza.""]","[""La idealización de Aitana se debilita aún más, lo que podría llevar a un contra-flujo masivo."",""La masa amplificadora se reorganiza y busca una nueva forma de idealizar a Aitana.""]",2025-12-22T14:08:50.918Z
aitana,6,175,2018-06-25,"La situación sigue siendo tensa, pero el contra-flujo está ganando fuerza en la masa amplificadora.","La masa amplificadora sigue dividida, pero el contra-flujo está ganando terreno. Algunos miembros de la masa comienzan a cuestionar la idealización de Aitana y su papel como representación generacional. Se rumorea que algunos están empezando a verla como una figura más compleja, con sus propias debilidades y contradicciones.","[""La idealización de Aitana comienza a debilitarse"",""El contra-flujo está ganando terreno en la masa amplificadora""]","[""La masa amplificadora se divide aún más, con algunos miembros defendiendo a Aitana y otros cuestionándola"",""El contra-flujo continúa ganando fuerza, pero Aitana sigue siendo una figura controvertida""]",2025-12-22T14:09:02.366Z
aitana,7,204,2018-07-24,"La masa amplificadora sigue dividida, pero el contra-flujo avanza",La situación sigue siendo tensa en la masa amplificadora. Se rumorea que algunos miembros están cuestionando la idealización de Aitana y el contra-flujo está ganando fuerza. Algunos incluso hablan de una posible 'desidealización' de la celebridad.,"[""El contra-flujo está ganando terreno en la masa amplificadora"",""Algunos miembros cuestionan la idealización de Aitana""]","[""Continuar con la desidealización de Aitana"",""Intentar restaurar la idealización""]",2025-12-22T14:09:10.782Z
aitana,8,233,2018-08-22,El contra-flujo gana terreno y Aitana enfrenta la crisis de su propia popularidad.,"La masa amplificadora sigue dividida, pero el contra-flujo avanza con fuerza. Aitana, la representación generacional, se encuentra en el centro de la tormenta. Su idealización ha alcanzado cotas nunca vistas, pero también comienza a mostrar signos de agotamiento.","[""La masa amplificadora se divide en facciones cada vez más extremas."",""El contra-flujo avanza con fuerza, amenazando con desestabilizar a Aitana."",""Aitana comienza a mostrar signos de agotamiento bajo la presión de su propia idealización.""]","[""La masa amplificadora se fragmenta en facciones irreconciliables."",""El contra-flujo logra desestabilizar a Aitana, provocando una crisis de popularidad."",""Aitana encuentra un nuevo camino para mantener su popularidad y evitar la caída.""]",2025-12-22T14:09:23.141Z
aitana,9,262,2018-09-20,"El contra-flujo avanza en la masa amplificadora, mientras Aitana lucha por mantener su popularidad.","La situación sigue siendo tensa, pero el contra-flujo ha ganado terreno en la masa amplificadora. Aitana enfrenta la crisis de su propia popularidad y se rumorea que está perdiendo influencia en las redes.","[""La participación de Aitana en las redes sociales ha disminuido"",""El contra-flujo ha ganado terreno en la masa amplificadora""]","[""Aitana intenta recuperar su influencia con un nuevo proyecto"",""La masa amplificadora se divide aún más entre partidarios y detractores de Aitana""]",2025-12-22T14:09:33.575Z
aitana,10,292,2018-10-20,El contra-flujo gana terreno y Aitana se ve amenazada por la pérdida de apoyo en la masa amplificadora.,"La masa amplificadora sigue dividida, pero el contra-flujo avanza con fuerza. Aitana enfrenta la crisis de su propia popularidad y lucha por mantener su influencia en las redes.","[""La participación de Aitana en las redes ha disminuido un 90% desde el punto máximo."",""El contra-flujo ha ganado más de un tercio del territorio de la masa amplificadora.""]","[""Aitana intenta recuperar su popularidad con un nuevo lanzamiento musical."",""La masa amplificadora se divide aún más y el contra-flujo aprovecha la oportunidad para avanzar.""]",2025-12-22T14:09:45.001Z
aitana,11,321,2018-11-18,Aitana enfrenta la crisis de su popularidad debido al avance del contra-flujo en la masa amplificadora.,"La situación de Aitana se volvió cada vez más desesperada. El contra-flujo había ganado terreno en la masa amplificadora y su popularidad comenzaba a disminuir. La gente que antes la admiraba ahora la criticaba y la rechazaba. Aitana intentó luchar por mantener su posición, pero era como tratar de contener un incendio en una granja de paja.","[""El contra-flujo ha ganado terreno en la masa amplificadora."",""La popularidad de Aitana disminuye."",""La gente que antes la admiraba ahora la critica y la rechaza.""]","[""Aitana intenta cambiar su estrategia para recuperar el apoyo de la masa amplificadora."",""El contra-flujo continúa avanzando, amenazando con destruir completamente la popularidad de Aitana.""]",2025-12-22T14:09:58.432Z
aitana,12,350,2018-12-17,Aitana se enfrenta a la crisis de su popularidad debido al avance del contra-flujo en la masa amplificadora.,"La situación de Aitana se volvió cada vez más desesperada. El contra-flujo había ganado terreno en la masa amplificadora y su popularidad comenzaba a disminuir. La gente que antes la admiraba ahora la criticaba y la rechazaba. Aitana intentó luchar por mantener su imagen, pero era como tratar de contener un incendio en una granja de paja.","[""El contra-flujo ha ganado terreno en la masa amplificadora."",""La popularidad de Aitana disminuye."",""La gente que antes la admiraba ahora la critica y la rechaza.""]","[""Aitana intenta un giro publicitario para recuperar su imagen."",""El contra-flujo se vuelve más agresivo en sus ataques a Aitana.""]",2025-12-22T14:10:12.961Z
